,Date,Case_Number,Daily Confirmed Cases
335,2021-05-02,83.0,92.0
336,2021-05-03,81.0,38.0
337,2021-05-04,93.0,22.0
338,2021-05-05,89.0,46.0
339,2021-05-06,107.0,37.0
340,2021-05-07,85.0,0.0
341,2021-05-08,86.0,0.0
342,2021-05-09,96.0,0.0
343,2021-05-10,108.0,60.0
344,2021-05-11,69.0,26.0
345,2021-05-12,105.0,10.0
346,2021-05-13,97.0,37.0
347,2021-05-14,80.0,31.0
348,2021-05-15,90.0,0.0
349,2021-05-16,88.0,0.0
350,2021-05-17,77.0,45.0
351,2021-05-18,18.0,6.0
352,2021-05-19,1.0,13.0
353,2021-05-20,0.0,8.0
354,2021-05-21,0.0,20.0
355,2021-05-24,0.0,22.0
356,2021-05-25,0.0,14.0
357,2021-05-26,0.0,9.0
358,2021-05-27,0.0,8.0
359,2021-05-28,0.0,5.0
