,date,Confirmed_Case_Daily
332,12/19/20,0.0
333,12/20/20,0.0
334,12/21/20,0.15008371336011864
335,12/22/20,0.049027346364305426
336,12/23/20,0.04269047846687819
337,12/24/20,0.0519178475105003
338,12/25/20,0.0
339,12/26/20,0.0
340,12/27/20,0.0
341,12/28/20,0.259700410673509
342,12/29/20,0.01745417999817676
343,12/30/20,0.05058377005841036
344,12/31/20,0.05325192496259025
345,01/01/21,0.0
346,01/02/21,0.11628708457384009
347,01/03/21,0.0
348,01/04/21,0.13196249463589693
349,01/05/21,0.07192900929184945
350,01/06/21,0.07370777922796938
351,01/07/21,0.09194017107319861
352,01/08/21,0.09338542164629604
353,01/09/21,0.0
354,01/10/21,0.0
355,01/11/21,0.2225685882570056
356,01/12/21,0.11206250597555525
357,01/13/21,0.09005022801607118
358,01/14/21,0.024013394137618983
359,01/15/21,0.04068936228874328
360,01/16/21,0.0
361,01/17/21,0.0
362,01/18/21,0.20478088889580634
363,01/19/21,0.06347985209527982
364,01/20/21,0.04913851948531292
365,01/21/21,0.047359749549192996
366,01/22/21,0.050472596937402865
367,01/23/21,0.0
368,01/24/21,0.0
369,01/25/21,0.17554235807083507
370,01/26/21,0.033129590060233596
371,01/27/21,0.0684826425406171
372,01/28/21,0.04369103655594565
373,01/29/21,0.033129590060233596
374,01/30/21,0.0
375,01/31/21,0.0
376,02/01/21,0.11717646954190004
377,02/02/21,0.061478735917144894
378,02/03/21,0.011784350826794502
379,02/04/21,0.02757093400985883
380,02/05/21,0.036020091206428476
381,02/06/21,0.0
382,02/07/21,0.0
383,02/08/21,0.11839937387298248
384,02/09/21,0.02223462420149906
385,02/10/21,0.020455854265379134
386,02/11/21,0.021901104838476574
387,02/12/21,0.020678200507394124
388,02/13/21,0.0
389,02/14/21,0.0
390,02/15/21,0.07404129859099187
391,02/16/21,0.006781560381457213
392,02/17/21,0.01156200458477951
393,02/18/21,0.013118428278884443
394,02/19/21,0.027793280251873824
395,02/20/21,0.0
396,02/21/21,0.0
397,02/22/21,0.061256389675129905
398,02/23/21,0.03657595681146595
399,02/24/21,0.029683223309001243
400,02/25/21,0.02034468114437164
401,02/26/21,0.013896640125936912
402,02/27/21,0.0
403,02/28/21,0.0
404,03/01/21,0.06236812088520485
405,03/02/21,0.010450273374704557
406,03/03/21,0.00733742598649469
407,03/04/21,0.019455296176311674
408,03/05/21,0.015786583183064334
409,03/06/21,0.0
410,03/07/21,0.0
411,03/08/21,0.04091170853075827
